from,to,session_id,timestamp
competition,coach,130,2017-09-17 06:14:15.932000000
coach,track,130,2017-09-17 06:14:27.803000064
track,exit,130,2017-09-17 06:14:27.803000064
coach,exit,131,2017-09-17 07:08:31.161999872
track,route,132,2017-09-17 08:22:25.239000064
route,coach,132,2017-09-17 08:22:41.455000064
coach,competition,132,2017-09-17 08:22:53.336000000
competition,team,132,2017-09-17 08:23:13.511000064
team,competition,132,2017-09-17 08:23:53.688000000
competition,coach,132,2017-09-17 08:24:48.743000064
coach,competition,132,2017-09-17 08:25:02.940999936
competition,coach,132,2017-09-17 08:25:07.903000064
coach,exit,132,2017-09-17 08:25:07.903000064
coach,badges,133,2017-09-17 10:02:24.995000064
badges,coach,133,2017-09-17 10:03:44.691000064
coach,exit,133,2017-09-17 10:03:44.691000064
team,coach,134,2017-09-17 11:01:52.167000064
coach,exit,134,2017-09-17 11:01:52.167000064
team,personal,135,2017-09-17 16:30:45.113999872
personal,track,135,2017-09-17 16:31:08.988999936
track,exit,135,2017-09-17 16:31:08.988999936
coach,exit,136,2017-09-17 17:28:33.504999936
competition,track,137,2017-09-18 07:40:18.633999872
track,personal,137,2017-09-18 07:40:31.660000000
personal,track,137,2017-09-18 07:40:41.335000064
track,personal,137,2017-09-18 07:41:17.892000000
personal,bugreport,137,2017-09-18 07:41:19.564999936
bugreport,track,137,2017-09-18 07:41:36.472999936
track,coach,137,2017-09-18 07:42:23.905999872
coach,track,137,2017-09-18 07:42:33.817999872
track,exit,137,2017-09-18 07:42:33.817999872
team,route,138,2017-09-18 11:48:51.838000128
route,routes,138,2017-09-18 11:49:01.968999936
routes,route,138,2017-09-18 11:49:12.464999936
route,routes,138,2017-09-18 11:49:31.452000000
routes,track,138,2017-09-18 11:50:14.192000000
track,route,138,2017-09-18 11:50:36.396999936
route,track,138,2017-09-18 11:50:55.792000000
track,route,138,2017-09-18 11:51:06.580999936
route,personal,138,2017-09-18 11:51:13.057999872
personal,bugreport,138,2017-09-18 11:51:14.179000064
bugreport,track,138,2017-09-18 11:51:35.361999872
track,route,138,2017-09-18 11:51:58.443000064
route,coach,138,2017-09-18 11:52:41.273999872
coach,team,138,2017-09-18 11:53:45.279000064
team,competition,138,2017-09-18 11:54:14.614000128
